"HAUS","ANLAGE","ABLEINH","TOUR","ME_MA_ID","CITY1","CITY2","HOUSE_NUM1","POST_CODE1","EQUNR","ENTSCHEIDUNG","REGEL"
"QUjTnaQedQWRM+zZOT+ptYdtUSHgDqQdSZGLRIP","Ax/SWoSUHqQYkTXUGjrgHTzdhghPaAvahSRKTWG","J09C6504","J09C","vJVOhpudIMqJLASmqjzNtCPTwgjyQZDmJYuepQT","Meinerzhagen","Meinerzhagen","79","58540","pfMRObvIAnwmloRBYQpohAfwDV+qWhYgzbjViWQ","KSA","Standard nach Anzahl Stromzähler"
"CzFXyMJKRhmi+JSRmYOqGSTWFWsOSNmYuhUQTqE","nkJeffBQaQUn+YYpXPKicmKpkQsflERjLcPBBQa","J09C6504","J09C","sQKWNZUFuJdBLOFSAUYPdcwoZjYncDsBsIrJuJY","Meinerzhagen","Meinerzhagen","46","58540","IVokQeUzTGFVddaRdadIEJXUxrxrYYRWpETZlZp","KSA","Standard nach Anzahl Stromzähler"
"RRWeyycEoebDGSp/UFnhPgUEnWdjWIcilsUHtxH","tfnjeIKsRmaoYwBmaofdXZQURzXsfWVmGVKVLRW","J09C4011","J09C_L","uaFgVIXhgHTzhDOEZSROjNNGVDAFZiQZ/lSQyRA","Lüdenscheid","","62","58513","JdaTcH/CDnfBWWBXWQoWesXxPwvxzjQgTJdROHw","KSA","Standard nach Anzahl Stromzähler"
"e/MkMIc/RWXWSaaEjIahOtFKVQGXKKRpsjEXBRT","dzXLMYVVyQYyeLQQSbMIhjFjzouJZwRMqEZiL/r","J09C4011","J09C_L","GYUY+S/FaSpXrhvXQhZV+fE+SNmNzwKjZTSQsMH","Lüdenscheid","","22","58513","U/sXQePYXDnnAh/YrSnJAHBWXTwVZMqowBQkDUG","KSA","Standard nach Anzahl Stromzähler"
"QJLMgxQZuxPUxQeytcxdKKQHr++kYIvsBPYUYXT","sNZUldZwYEkNeCiVWfIKGVnhGzF+LuJOhRIbPwH","J09C3401","J09C_J","OGXIQndnLPzUyASQRRMWUWDPpnuXFeeLnFZXvCX","Hagen","Hohenlimburg","2","58093","ikhWyrRUJpqeptNgbSlRQynZktKGSTSGgJ/WdzL","EVU","Standard nach Anzahl Stromzähler"
"qkO+FjSQpDXdqJrHNTdqWbHGcTOueBApqKkqhiX","RdWKVSkFWxSUOQmKspYWic+shfCKqjJmhVPHDub","J09C3401","J09C_J","RfRUapNZzXbfeocwNwEDlVgzSTWZUlYCaeZXIww","Hagen","Hohenlimburg","15","58093","xgjRqQMwUivihWbPaUVhBlSXtAeR/BSLDePXUYm","EVU","Standard nach Anzahl Stromzähler"
"LfYZk+CMYwRQnhcLCSosSgEdWFhVpagR+XK/rYm","sWQzSVQfOyyuWsjYWcMdElotClWvSxRkktJvvyB","J09C6506","J09C","vJXPQSIkzkqgFmUWsXVxYojSQaZDHyKWdw/rJsl","Meinerzhagen","Meinerzhagen","19","58540","/dvHEZViUaUUwFfUZqZYvEyAXYTVvVAChapVQwF","EVU","Standard nach Anzahl Stromzähler"
"BcGbkUClRjWfKzoADQbcJlFROWfzETUeENjOAYM","TEOryTmrxNReAxiTn/jZlgSODWtqBxfXgGiQXcZ","J09C3401","J09C_J","nADpktQMFUDliQPxfXyNioQhLaAhvYRtIaeRnXT","Hagen","Hohenlimburg","10","58093","pzZqwzGQvUMrNMRVCQuQU/TQRgcRaldJZYH+eYw","KSA","Standard nach Anzahl Stromzähler"
"iQiieVsSyiEymxiKWkTQV/KoMH+bFVUWBq/pQXT","cUiLJxadmrDDMZRcmRZyurdQXcWjSjYwkYZkXFS","J09C6103","J09C","dhQqQZVUSLEzjSWXHBfnZOQQcCVYQFXTvwHg/UV","Neuenrade","Neuenrade","13","58809","bPpTVnEhg/PXXERTA+bXhChCJhVKVSEjYKpeRTl","KSA","Standard nach Anzahl Stromzähler"
"OQdcigheWO++hEWejYQLaqCQveMzVmTXfwKZVCA","iDMxHEwzKydSQYY/WvrAXkRKoGqXXRgUIWcvzHL","J09C6503","J09C","QXYeSEVxVDYIFciZUNiIxvDluNpUQC+aZWHOSf/","Meinerzhagen","Meinerzhagen","1","58540","yYLrEvhdrHfihDPQeQyHWsOXbRnWcpqFTtUMyeo","KSA","Standard nach Anzahl Stromzähler"
